хорошо	adv	627.6	635.1	541.2	560.4	649.3	444.6
вода	s	679.5	623.6	547.8	467.0	477.3	387.0
отец	s	576.4	650.5	625.7	3079.0	587.3	393.9
высокий	a	456.8	379.2	350.5	524.8	461.1	517.5
остаться	v	585.6	591.8	585.1	521.8	538.9	503.7
выйти	v	697.6	685.5	678.8	567.8	496.0	432.1
много	num	467.2	446.9	404.1	693.8	747.3	589.6
проблема	s	37.2	69.8	153.2	142.3	283.9	700.7
начать	v	582.4	501.6	540.8	375.1	520.2	509.9
хороший	a	556.7	573.9	481.1	557.4	641.2	485.4
час	s	514.9	490.7	498.1	587.0	581.5	463.7
это	part	513.1	478.7	431.8	296.5	443.9	480.1
сегодня	adv	426.8	424.6	399.3	315.8	388.9	604.1
право	s	166.8	179.7	168.1	197.2	303.8	498.9
совсем	adv	711.8	712.4	642.2	440.3	470.7	381.5
нога	s	947.2	779.9	825.0	392.9	325.8	245.8
считать	v	357.3	338.8	327.4	449.2	610.4	582.3
главный	a	242.8	226.1	242.2	360.2	493.0	702.0
решение	s	99.6	99.0	88.9	231.3	374.2	557.9
увидеть	v	828.8	702.3	654.6	486.2	517.3	341.1
дверь	s	805.2	822.2	940.0	327.6	298.6	209.9
казаться	v	756.5	501.0	550.7	573.7	638.7	395.8
образ	s	159.3	187.1	229.8	501.1	431.1	491.4
писать	v	374.7	434.3	335.6	1086.6	773.0	534.9
история	s	237.9	241.8	274.1	484.8	615.2	591.8
лучший	a	366.4	369.5	412.8	539.6	567.1	554.8
власть	s	123.7	136.3	179.7	228.3	403.5	742.3
закон	s	136.5	132.1	135.8	139.3	225.6	573.5
все	advpro	547.0	627.6	569.0	471.4	459.7	381.8
война	s	485.8	421.4	268.9	615.2	927.0	586.8
бог	s	301.3	445.5	485.3	370.6	265.6	274.4
голос	s	890.1	764.4	713.9	416.6	327.6	265.1
найти	v	465.2	446.2	525.5	444.7	410.9	399.0
поэтому	advpro	230.6	212.9	282.5	257.9	407.6	533.3
стоять	v	959.6	783.2	694.0	397.3	433.6	237.9
вообще	adv	239.8	336.6	456.1	290.6	387.4	427.3
тысяча	s	242.3	195.2	229.4	524.8	511.8	644.5
больше	adv	509.0	546.6	538.5	446.2	460.0	375.2
вместе	adv	459.8	416.9	417.9	520.3	511.0	442.0
маленький	a	643.7	534.2	518.8	481.8	535.2	365.7
книга	s	290.0	321.0	277.1	803.5	601.6	559.5
некоторый	apro	265.1	253.2	256.4	438.8	458.6	492.4
решить	v	363.7	363.2	485.3	335.0	490.8	480.4
любой	apro	210.4	243.4	314.7	238.7	370.5	519.5
возможность	s	148.5	134.2	155.0	268.3	406.8	516.4
результат	s	71.4	84.9	96.4	198.7	225.2	482.3
ночь	s	649.0	636.9	615.5	514.4	512.5	298.1
стол	s	788.2	687.2	687.2	429.9	358.8	258.9
никогда	advpro	464.9	497.6	536.1	569.3	519.1	378.0
имя	s	246.5	283.0	353.1	868.7	425.9	497.5
область	s	65.8	49.2	56.7	220.9	296.8	541.7
молодой	a	442.2	510.8	459.2	695.3	581.1	428.8
пройти	v	511.9	434.3	401.9	398.8	443.5	447.9
например	adv	140.0	174.3	164.9	281.7	352.5	533.0
статья	s	92.9	100.9	74.0	351.3	224.9	320.6
оно	spro	438.5	456.2	392.9	369.1	414.5	368.8
число	s	86.5	114.3	115.7	228.3	277.7	487.7
компания	s	53.7	81.5	133.7	59.3	89.9	753.7
про	pr	542.5	615.6	624.5	278.7	257.9	285.8
государственный	a	59.4	48.3	60.0	235.7	205.4	516.9
полный	a	314.2	345.3	385.5	480.3	409.0	415.1
принять	v	225.4	248.9	252.8	391.4	435.8	517.1
народ	s	247.1	266.3	293.9	770.9	577.4	531.3
никакой	apro	351.3	447.2	467.5	425.5	419.3	397.9
советский	a	233.6	209.2	146.7	2033.9	711.0	608.5
жена	s	377.3	498.1	604.1	357.3	407.9	316.2
настоящий	a	234.1	206.8	235.3	303.9	265.6	362.1
всякий	apro	418.3	476.0	484.1	598.9	496.7	323.1
группа	s	162.3	129.9	111.9	249.1	296.1	475.5
развитие	s	53.0	27.8	32.1	214.9	249.8	444.1
процесс	s	56.0	43.4	61.8	94.9	275.5	348.8
суд	s	81.0	108.8	96.2	123.0	187.1	329.1
давать	v	351.1	352.0	338.6	432.9	490.8	382.0
ответить	v	784.3	591.5	601.3	302.4	361.0	240.3
старый	a	497.7	525.8	460.4	542.6	595.4	340.7
условие	s	104.2	94.1	80.2	228.3	350.0	425.2
твой	apro	502.3	585.0	703.8	222.6	219.9	180.9
пока	conj	455.9	463.1	495.2	324.6	320.3	350.0
средство	s	70.7	56.0	71.8	179.4	250.2	477.6
помнить	v	362.8	482.2	466.9	447.7	614.8	333.1
начало	s	139.1	174.1	191.5	352.8	482.4	506.8
ждать	v	550.9	573.9	522.7	335.0	349.2	300.2
свет	s	537.9	503.8	513.4	342.4	303.0	265.1
пора	s	288.2	321.3	319.8	406.2	487.5	453.6
путь	s	283.2	259.2	278.7	489.2	468.5	399.0
душа	s	374.0	452.5	465.3	467.0	377.5	300.1
куда	advpro	505.1	565.9	556.1	296.5	332.0	275.1
нужно	adv	351.6	244.7	341.2	342.4	475.4	404.4
разный	a	231.8	230.1	236.5	268.3	395.8	412.4
нужный	a	358.4	378.1	407.9	397.3	457.1	365.9
уровень	s	42.0	45.4	69.5	126.0	159.9	442.3
иной	apro	137.0	179.3	178.3	286.1	343.4	340.1
форма	s	139.8	126.7	134.1	343.9	317.0	325.5
связь	s	153.5	116.1	137.0	244.6	284.7	376.0
уж	part	534.6	595.1	518.2	186.8	299.0	259.6
минута	s	598.0	477.9	503.9	397.3	410.1	259.1
кроме	pr	236.8	269.5	267.8	378.0	347.4	410.8
находиться	v	195.0	190.4	205.4	354.3	399.5	418.2
опять	adv	697.4	752.3	482.2	317.2	271.8	218.1
многий	apro	135.9	126.6	125.5	425.5	522.8	522.7
белый	a	551.6	530.8	467.6	424.0	319.5	280.9
собственный	a	176.2	245.7	323.5	298.0	301.9	417.1
улица	s	471.1	455.4	429.2	452.1	376.0	334.4
черный	a	575.1	484.5	510.4	449.2	268.2	264.1
написать	v	305.9	353.8	276.3	720.5	527.9	405.1
вечер	s	446.3	459.9	449.1	567.8	479.1	322.8
снова	adv	727.0	488.8	535.3	395.8	348.5	229.0
основной	a	45.2	50.5	61.8	139.3	166.9	426.1
качество	s	62.9	70.0	85.8	298.0	242.1	413.7
мысль	s	427.1	379.9	417.6	342.4	471.4	259.7
дорога	s	554.9	456.7	418.7	386.9	481.7	293.1
мать	s	539.2	644.9	524.6	416.6	307.8	193.4
действие	s	96.6	94.5	100.8	182.3	257.5	355.5
месяц	s	216.8	232.5	256.3	332.1	391.8	402.1
оставаться	v	263.9	295.8	303.5	343.9	419.3	379.6
государство	s	101.4	59.5	71.8	170.5	223.4	555.2
язык	s	199.6	254.8	272.1	416.6	329.4	332.2
любовь	s	214.6	276.5	351.0	386.9	306.7	321.8
взгляд	s	410.8	366.7	473.1	244.6	276.6	270.5
мама	s	483.7	500.3	418.9	521.8	274.0	272.2
играть	v	246.0	272.0	227.2	327.6	454.9	451.9
далекий	a	444.5	450.2	424.4	329.1	317.0	282.2
лежать	v	627.1	513.0	508.4	280.2	325.8	179.4
нельзя	adv	397.9	379.7	317.6	370.6	407.2	322.5
век	s	130.3	164.3	141.2	265.4	399.9	374.9
школа	s	227.4	270.8	206.5	548.5	370.1	384.4
подумать	v	704.4	668.5	591.0	161.6	205.1	129.6
уйти	v	539.9	481.4	449.3	213.5	282.5	268.6
цель	s	132.6	124.2	135.4	188.3	243.2	362.2
среди	pr	284.6	288.1	255.0	450.7	377.9	371.2
общество	s	100.1	89.1	82.4	253.5	301.2	396.2
посмотреть	v	662.4	507.5	520.2	170.5	219.0	180.1
деятельность	s	45.2	39.9	41.4	179.4	170.6	344.9
организация	s	45.5	40.0	40.1	452.1	275.1	413.1
кто-то	spro	345.8	395.3	469.0	237.2	347.4	283.9
вернуться	v	419.5	435.5	450.5	416.6	343.0	280.9
президент	s	6.6	16.6	60.4	43.0	69.3	685.4
комната	s	586.7	574.5	503.1	480.3	397.3	191.4
порядок	s	189.7	194.2	196.1	238.7	205.1	282.5
момент	s	164.3	203.5	264.5	149.7	274.8	348.4
театр	s	64.2	97.6	103.4	1186.0	510.6	604.6
следовать	v	219.8	251.9	224.0	333.6	293.5	298.4
читать	v	347.7	389.9	289.1	524.8	479.1	320.2
письмо	s	311.4	291.9	200.0	627.1	566.8	358.2
подобный	a	129.6	148.0	170.7	343.9	317.7	375.7
следующий	a	133.1	164.3	222.4	306.9	229.3	329.2
утро	s	438.9	486.2	446.0	345.9	344.6	244.9
особенно	adv	222.4	216.4	216.1	406.2	491.6	370.1
помощь	s	158.1	153.1	185.5	309.8	278.8	360.1
ситуация	s	19.0	56.9	121.4	32.6	139.8	446.3
роль	s	65.2	79.2	101.1	339.5	431.1	463.7
бывать	v	326.5	352.7	335.2	481.8	460.0	277.9
ходить	v	458.5	462.2	377.2	391.4	376.0	243.9
рубль	s	100.7	166.5	110.9	146.8	179.8	497.8
начинать	v	293.0	268.7	283.4	308.4	365.8	321.6
появиться	v	260.9	265.3	293.7	293.5	281.0	378.0
смысл	s	140.0	195.3	241.2	247.6	317.7	302.5
состояние	s	105.3	119.2	144.6	186.8	239.9	293.8
называть	v	189.8	223.3	215.7	382.5	336.0	364.0
рядом	adv	478.2	429.7	453.1	326.1	300.4	221.3
квартира	s	162.0	298.9	447.5	280.2	280.3	303.5
назад	adv	356.1	297.5	346.3	257.9	261.9	314.4
равный	a	295.3	315.6	341.4	173.4	191.5	254.1
из-за	pr	329.3	326.6	361.6	216.4	275.9	287.0
орган	s	25.4	62.0	55.7	69.7	131.7	287.7
внимание	s	215.3	227.4	224.0	341.0	272.6	315.9
тело	s	267.6	242.6	388.9	173.4	133.5	174.0
труд	s	197.8	187.6	185.2	563.3	445.7	298.8
прийтись	v	309.1	281.9	333.6	246.1	326.9	341.3
хотеться	v	406.1	365.3	365.3	274.2	310.4	256.8
сын	s	274.7	378.2	372.4	341.0	300.1	253.5
мера	s	126.2	131.7	148.7	253.5	293.9	335.2
пять	num	305.9	308.4	341.4	277.2	308.1	286.4
смерть	s	254.7	260.9	349.1	560.4	394.0	259.2
живой	a	363.5	348.4	332.4	312.8	310.7	235.9
рынок	s	20.0	39.4	69.5	19.3	62.0	522.1
программа	s	33.3	43.4	58.0	172.0	203.6	471.4
задача	s	87.6	67.9	61.1	289.1	210.6	324.4
предприятие	s	18.3	15.1	28.2	194.2	198.1	433.6
известный	a	126.7	150.2	158.6	360.2	317.0	396.2
окно	s	512.2	549.6	506.6	243.1	217.5	153.7
вести	v	283.8	259.8	265.1	364.7	401.0	314.6
совершенно	adv	279.7	245.2	327.1	429.9	325.0	290.7
военный	a	191.1	142.9	113.2	265.4	400.6	439.2
разговор	s	399.7	401.1	357.2	329.1	435.1	259.4
показать	v	285.7	254.0	234.1	308.4	274.4	257.3
правительство	s	30.5	25.1	40.0	348.4	184.5	557.9
важный	a	155.6	142.2	167.6	232.7	319.2	334.0
семья	s	141.8	221.6	201.6	419.5	423.7	366.8
великий	a	209.0	216.4	250.0	757.5	371.2	328.1
производство	s	36.7	31.3	31.9	225.3	260.5	332.5
простой	a	224.0	227.5	264.0	268.3	281.7	307.7
значит	adv	486.4	449.7	404.6	164.6	195.9	189.2
третий	anum	274.5	283.0	269.9	284.6	251.3	294.2
сколько	num	332.7	348.3	344.5	277.2	323.9	248.2
огромный	a	297.8	210.4	297.9	446.2	392.2	312.7
давно	adv	340.8	357.9	383.3	212.0	248.4	256.9
политический	a	61.1	38.1	54.6	315.8	274.8	490.7
информация	s	40.1	34.9	100.1	37.1	77.4	309.1
действительно	adv	242.3	262.7	272.1	223.8	321.7	297.4
положение	s	158.6	138.4	105.4	278.7	387.8	288.6
поставить	v	254.9	257.8	255.8	391.4	323.2	297.6
бояться	v	470.0	435.1	408.8	217.9	257.5	188.0
наконец	adv	367.6	346.7	383.9	286.1	266.3	233.0
центр	s	95.2	82.2	127.3	140.8	196.6	405.8
происходить	v	121.9	158.2	193.7	226.8	264.1	304.1
ответ	s	186.1	217.2	255.4	212.0	238.8	279.9
муж	s	197.6	239.2	414.1	163.1	207.3	187.2
автор	s	63.3	114.8	81.4	317.2	212.4	378.0
все-таки	part	375.9	344.2	355.1	185.3	249.1	237.1
стена	s	405.4	370.3	437.1	306.9	244.7	190.3
существовать	v	125.5	131.1	135.1	219.4	256.4	332.5
даже	conj	280.2	350.6	341.8	216.4	314.8	248.7
интерес	s	109.5	115.8	127.0	220.9	234.8	353.8
становиться	v	248.5	189.3	208.1	345.4	302.6	295.4
федерация	s	0.7	0.5	4.8	17.8	26.8	229.3
правило	s	69.8	88.2	104.0	127.5	177.6	306.4
оба	num	355.5	306.1	299.5	244.6	232.6	226.6
часто	adv	181.7	190.2	162.0	401.7	522.8	309.0
московский	a	58.0	76.1	114.3	339.5	274.8	456.8
управление	s	70.9	65.5	45.3	126.0	136.5	352.1
слышать	v	433.0	437.8	384.3	219.4	286.5	174.0
быстро	adv	437.8	315.3	375.1	217.9	281.0	202.9
смочь	v	185.2	198.6	255.8	232.7	209.5	332.7
заметить	v	406.8	336.0	389.4	209.0	213.9	193.5
как-то	advpro	274.9	334.8	321.6	367.6	385.9	234.2
мужчина	s	202.9	268.2	390.7	109.7	161.4	196.9
долго	adv	397.6	376.5	348.9	244.6	328.3	215.7
правда	adv	212.3	286.2	275.7	160.1	261.9	301.9
идея	s	99.4	103.2	115.8	172.0	294.9	352.3
партия	s	103.9	98.9	83.2	760.5	612.3	430.8
иногда	adv	243.2	253.9	264.2	341.0	410.1	242.6
использовать	v	52.1	47.1	65.2	115.6	193.7	278.2
пытаться	v	191.6	236.0	325.3	225.3	192.2	279.2
готовый	a	222.4	211.8	258.3	158.6	225.6	293.9
чуть	adv	323.5	382.8	401.4	214.9	224.5	201.0
зачем	advpro	416.0	456.3	425.5	120.1	162.5	149.2
представить	v	154.7	167.9	165.2	214.9	188.2	271.0
чувствовать	v	390.3	352.5	356.9	275.7	331.6	192.8
создать	v	84.9	64.6	73.6	280.2	296.8	382.0
совет	s	126.9	96.3	96.7	551.5	337.9	366.1
счет	s	81.9	103.1	135.5	140.8	178.3	332.0
сердце	s	330.4	331.0	310.4	332.1	232.9	199.5
движение	s	227.9	183.5	194.9	341.0	231.1	246.3
вещь	s	237.7	213.3	245.3	240.2	333.5	239.7
материал	s	82.1	60.6	65.7	332.1	239.2	270.1
неделя	s	171.4	208.1	243.0	185.3	230.0	295.9
чувство	s	312.3	231.1	263.9	444.7	419.7	232.0
затем	adv	196.4	246.6	190.0	268.3	275.9	274.0
данный	apro	36.5	53.7	58.3	51.9	100.9	209.7
заниматься	v	143.4	146.1	173.3	201.6	249.5	332.4
продолжать	v	344.7	307.1	296.4	263.9	268.9	224.4
красный	a	355.7	303.8	306.3	421.0	299.7	218.0
глава	s	167.0	123.2	135.3	235.7	179.8	353.6
ко	pr	303.3	297.6	306.8	274.2	359.9	211.4
слушать	v	492.4	413.7	362.3	225.3	266.0	145.8
наука	s	173.5	164.9	73.6	243.1	257.2	235.8
узнать	v	328.1	303.9	316.1	296.5	377.5	216.4
ряд	s	123.7	113.8	109.8	298.0	222.3	289.3
газета	s	200.3	197.5	200.9	548.5	333.8	344.4
причина	s	92.2	132.5	146.6	180.9	233.3	307.6
против	pr	196.2	158.8	129.9	403.2	390.0	320.4
